user_id,method,gt_size,history_size,seed_size,precision@5,recall@5,ndcg@5,map@5,precision@10,recall@10,ndcg@10,map@10
1515,popularity,4,15,9,0.2,0.25,0.24630238874073,0.125,0.1,0.25,0.24630238874073,0.125
1515,cooccurrence,4,15,9,0.0,0.0,0.0,0.0,0.1,0.25,0.13012668333070054,0.03571428571428571
1515,hybrid,4,15,9,0.0,0.0,0.0,0.0,0.1,0.25,0.13012668333070054,0.03571428571428571
4634,popularity,3,30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4634,cooccurrence,3,30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4634,hybrid,3,30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372,popularity,3,263,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372,cooccurrence,3,263,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6372,hybrid,3,263,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7164,popularity,6,22,9,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.10086747116627115,0.023809523809523808
7164,cooccurrence,6,22,9,0.2,0.16666666666666666,0.16958010263680806,0.06666666666666667,0.1,0.16666666666666666,0.15130120674940672,0.05555555555555555
7164,hybrid,6,22,9,0.2,0.16666666666666666,0.16958010263680806,0.06666666666666667,0.1,0.16666666666666666,0.15130120674940672,0.05555555555555555
7701,popularity,26,142,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7701,cooccurrence,26,142,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7701,hybrid,26,142,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9028,popularity,18,43,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9028,cooccurrence,18,43,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9028,hybrid,18,43,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11996,popularity,17,67,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11996,cooccurrence,17,67,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11996,hybrid,17,67,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13094,popularity,1,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13094,cooccurrence,1,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13094,hybrid,1,20,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13898,popularity,2,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13898,cooccurrence,2,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13898,hybrid,2,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15641,popularity,11,41,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15641,cooccurrence,11,41,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15641,hybrid,11,41,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16245,popularity,14,75,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16245,cooccurrence,14,75,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16245,hybrid,14,75,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17610,popularity,5,41,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17610,cooccurrence,5,41,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17610,hybrid,5,41,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17984,popularity,7,230,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17984,cooccurrence,7,230,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17984,hybrid,7,230,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18272,popularity,19,126,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18272,cooccurrence,19,126,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18272,hybrid,19,126,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18457,popularity,8,28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18457,cooccurrence,8,28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18457,hybrid,8,28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18568,popularity,11,33,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18568,cooccurrence,11,33,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18568,hybrid,11,33,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18870,popularity,8,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18870,cooccurrence,8,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18870,hybrid,8,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19286,popularity,14,72,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19286,cooccurrence,14,72,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
